season,, Guest_star,,  bday,, dday,, url
7,,Paul McCartney,,1942,,-1,, http://en.wikipedia.org/wiki/Paul_McCartney
7,,Peter Frampton,,1950,,-1,, http://en.wikipedia.org/wiki/Peter_Frampton
7,,Phil Hartman,,1948,,1998,, http://en.wikipedia.org/wiki/Phil_Hartman
7,,R. Lee Ermey,,1944,,-1,, http://en.wikipedia.org/wiki/R._Lee_Ermey
7,,Sonic Youth[K],,-1,,-1,, http://en.wikipedia.org/wiki/Sonic_Youth
7,,Suzanne Somers,,1946,,-1,, http://en.wikipedia.org/wiki/Suzanne_Somers
7,,The Smashing Pumpkins[J],,-1,,-1,, http://en.wikipedia.org/wiki/The_Smashing_Pumpkins
7,,Tom Kite,,1949,,-1,, http://en.wikipedia.org/wiki/Tom_Kite
8,,Bret Hart,,1957,,-1,, http://en.wikipedia.org/wiki/Bret_Hart
8,,Dave Thomas,,1949,,-1,, http://en.wikipedia.org/wiki/Dave_Thomas_%28actor%29
8,,David Duchovny,,1960,,-1,, http://en.wikipedia.org/wiki/David_Duchovny
8,,David Hyde Pierce,,1959,,-1,, http://en.wikipedia.org/wiki/David_Hyde_Pierce
8,,Gailard Sartain,,1946,,-1,, http://en.wikipedia.org/wiki/Gailard_Sartain
8,,Gedde Watanabe,,1955,,-1,, http://en.wikipedia.org/wiki/Gedde_Watanabe
8,,Gillian Anderson,,1968,,-1,, http://en.wikipedia.org/wiki/Gillian_Anderson
8,,Jack Lemmon,,1925,,2001,, http://en.wikipedia.org/wiki/Jack_Lemmon
8,,John Waters,,1946,,-1,, http://en.wikipedia.org/wiki/John_Waters_%28filmmaker%29
8,,Johnny Cash,,1932,,2003,, http://en.wikipedia.org/wiki/Johnny_Cash
8,,Karen Maruyama,,1958,,-1,, http://en.wikipedia.org/wiki/Karen_Maruyama
8,,Michael Buffer,,1944,,-1,, http://en.wikipedia.org/wiki/Michael_Buffer
8,,Paul Winfield,,1939,,2004,, http://en.wikipedia.org/wiki/Paul_Winfield
8,,Rodney Dangerfield,,1921,,2004,, http://en.wikipedia.org/wiki/Rodney_Dangerfield
8,,Sab Shimono,,1943,,-1,, http://en.wikipedia.org/wiki/Sab_Shimono
8,,Tim Conway,,1933,,-1,, http://en.wikipedia.org/wiki/Tim_Conway
8,,Willem Dafoe,,1955,,-1,, http://en.wikipedia.org/wiki/Willem_Dafoe
9,,Alex Trebek,,1940,,-1,, http://en.wikipedia.org/wiki/Alex_Trebek
9,,Andrea Martin,,1947,,-1,, http://en.wikipedia.org/wiki/Andrea_Martin
9,,Bob Denver,,1935,,2005,, http://en.wikipedia.org/wiki/Bob_Denver
9,,Bobcat Goldthwait,,1962,,-1,, http://en.wikipedia.org/wiki/Bobcat_Goldthwait
9,,Brendan Fraser,,1968,,-1,, http://en.wikipedia.org/wiki/Brendan_Fraser
9,,Bruce Baum,,-1,,-1,, http://en.wikipedia.org/wiki/Bruce_Baum
9,,Fyvush Finkel,,1922,,-1,, http://en.wikipedia.org/wiki/Fyvush_Finkel
9,,Hank Williams, Jr.,,1949,,-1,, http://en.wikipedia.org/wiki/Hank_Williams,_Jr.
9,,Helen Hunt,,1963,,-1,, http://en.wikipedia.org/wiki/Helen_Hunt
9,,Jack Ong,,1940,,-1,, http://en.wikipedia.org/wiki/Jack_Ong
9,,Jan Hooks,,1957,,-1,, http://en.wikipedia.org/wiki/Jan_Hooks
9,,Janeane Garofalo,,1964,,-1,, http://en.wikipedia.org/wiki/Janeane_Garofalo
9,,Jay Leno,,1950,,-1,, http://en.wikipedia.org/wiki/Jay_Leno
9,,Jim Varney,,1949,,2000,, http://en.wikipedia.org/wiki/Jim_Varney
9,,Joe Namath,,1943,,-1,, http://en.wikipedia.org/wiki/Joe_Namath
9,,Martin Sheen,,1940,,-1,, http://en.wikipedia.org/wiki/Martin_Sheen
9,,Mike Judge,,1962,,-1,, http://en.wikipedia.org/wiki/Mike_Judge
9,,Paul McGuinness,,-1,,-1,, http://en.wikipedia.org/wiki/Paul_McGuinness
9,,Rod Steiger,,1925,,2002,, http://en.wikipedia.org/wiki/Rod_Steiger
9,,Roy Firestone,,1953,,-1,, http://en.wikipedia.org/wiki/Roy_Firestone
9,,Stephen Jay Gould,,-1,,2002,, http://en.wikipedia.org/wiki/Stephen_Jay_Gould
9,,Steve Martin,,1945,,-1,, http://en.wikipedia.org/wiki/Steve_Martin
9,,Steven Weber,,1961,,-1,, http://en.wikipedia.org/wiki/Steven_Weber_%28actor%29
9,,Steven Wright,,1955,,-1,, http://en.wikipedia.org/wiki/Steven_Wright
9,,Susie Smith,,1960,,-1,, http://en.wikipedia.org/wiki/Adam_Clayton
9,,U2[L],,-1,,-1,, http://en.wikipedia.org/wiki/U2
10,,Alec Baldwin,,1958,,-1,, http://en.wikipedia.org/wiki/Alec_Baldwin
10,,Brian Grazer,,1951,,-1,, http://en.wikipedia.org/wiki/Brian_Grazer
10,,Cyndi Lauper,,1953,,-1,, http://en.wikipedia.org/wiki/Cyndi_Lauper
10,,Dan Marino,,1961,,-1,, http://en.wikipedia.org/wiki/Dan_Marino
10,,Dick Tufeld,,1926,,2012,, http://en.wikipedia.org/wiki/Dick_Tufeld
10,,Dolly Parton,,1946,,-1,, http://en.wikipedia.org/wiki/Dolly_Parton
10,,Ed McMahon,,1923,,2009,, http://en.wikipedia.org/wiki/Ed_McMahon
10,,Elton John,,1947,,-1,, http://en.wikipedia.org/wiki/Elton_John
10,,Fred Willard,,1933,,-1,, http://en.wikipedia.org/wiki/Fred_Willard
10,,George Carlin,,1937,,2008,, http://en.wikipedia.org/wiki/George_Carlin
10,,Isabella Rossellini,,1952,,-1,, http://en.wikipedia.org/wiki/Isabella_Rossellini
10,,Jack LaLanne,,1914,,2011,, http://en.wikipedia.org/wiki/Jack_LaLanne
10,,Jasper Johns,,1930,,-1,, http://en.wikipedia.org/wiki/Jasper_Johns
10,,Jerry Springer,,1944,,-1,, http://en.wikipedia.org/wiki/Jerry_Springer
10,,John Kassir,,-1,,-1,, http://en.wikipedia.org/wiki/John_Kassir
10,,John Madden,,1936,,-1,, http://en.wikipedia.org/wiki/John_Madden
10,,Kathie Lee Gifford,,1953,,-1,, http://en.wikipedia.org/wiki/Kathie_Lee_Gifford
10,,Keone Young,,1947,,-1,, http://en.wikipedia.org/wiki/Keone_Young
10,,Kim Basinger,,1953,,-1,, http://en.wikipedia.org/wiki/Kim_Basinger
10,,Lisa Kudrow,,-1,,-1,, http://en.wikipedia.org/wiki/Lisa_Kudrow
10,,Mark Hamill,,1951,,-1,, http://en.wikipedia.org/wiki/Mark_Hamill
10,,Martin Mull,,1943,,-1,, http://en.wikipedia.org/wiki/Martin_Mull
10,,NRBQ,,-1,,-1,,, http://en.wikipedia.org/wiki/NRBQ
10,,Pat Summerall,,1930,,-1,, http://en.wikipedia.org/wiki/Pat_Summerall
10,,Regis Philbin,,1931,,-1,, http://en.wikipedia.org/wiki/Regis_Philbin
10,,Robert Englund,,1947,,-1,, http://en.wikipedia.org/wiki/Robert_Englund
10,,Ron Howard,,1954,,-1,, http://en.wikipedia.org/wiki/Ron_Howard
10,,Rosey Grier,,1932,,-1,, http://en.wikipedia.org/wiki/Rosey_Grier
10,,Rupert Murdoch,,1931,,-1,, http://en.wikipedia.org/wiki/Rupert_Murdoch
10,,The Moody Blues[M],,-1,,-1,, http://en.wikipedia.org/wiki/The_Moody_Blues
10,,Troy Aikman,,1966,,-1,, http://en.wikipedia.org/wiki/Troy_Aikman
10,,William Daniels,,1927,,-1,, http://en.wikipedia.org/wiki/William_Daniels
10,,Yo La Tengo,,-1,,-1,, http://en.wikipedia.org/wiki/Yo_La_Tengo
11,,Betty White,,1922,,-1,, http://en.wikipedia.org/wiki/Betty_White
11,,Britney Spears,,1981,,-1,, http://en.wikipedia.org/wiki/Britney_Spears
11,,Butch Patrick,,1953,,-1,, http://en.wikipedia.org/wiki/Butch_Patrick
11,,Charlie Rose,,1942,,-1,, http://en.wikipedia.org/wiki/Charlie_Rose
11,,Clarence Clemons,,1942,,2011,, http://en.wikipedia.org/wiki/Clarence_Clemons
11,,Dick Clark,,1929,,2012,, http://en.wikipedia.org/wiki/Dick_Clark
11,,Diedrich Bader,,1966,,-1,, http://en.wikipedia.org/wiki/Diedrich_Bader
11,,Don Cheadle,,1964,,-1,, http://en.wikipedia.org/wiki/Don_Cheadle
11,,Edward Asner,,1929,,-1,, http://en.wikipedia.org/wiki/Edward_Asner
11,,Elwood Edwards,,-1,,-1,, http://en.wikipedia.org/wiki/Elwood_Edwards
11,,Fred Turner,,1943,,-1,, http://en.wikipedia.org/wiki/Fred_Turner_%28musician%29
11,,Garry Marshall,,1934,,-1,, http://en.wikipedia.org/wiki/Garry_Marshall
